Trilha,Fase,Tarefa,Responsável,Status,Prazo
Representantes,Atração,"Implementar WhatsApp Business API — Recebe mensagem, identifica perfil rep pelo telefone cadastrado em whitelist.",,,
Representantes,Atração,"Implementar Pipedrive — Verifica cadastro do rep, carrega histórico e tabela de preços de transferência (a definir — Pipedrive já tem pipelines separados B2C/B2B; tabela específica pra rep precisa ser configurada ou usar a tabela PJ atual).",,,
Representantes,Atração,Implementar Make / n8n — Trigger: rep autenticado → dispara envio do formulário de pedido com tabela atualizada.,,,
Representantes,Pedido — Formulário,"Implementar Formulário web (Tally ou similar) — Captura SKU, quantidades, endereço de entrega e dados do rep. Valida campos obrigatórios.",,,
Representantes,Pedido — Formulário,Implementar Bling ERP — Cria pedido com tabela de preços do canal Rep (a definir — Bling já tem produtos PJ vs PF separados; produto Rep precisa ser configurado ou reusar produto PJ).,,,
Representantes,Pedido — Formulário,Implementar Pipedrive — Cria deal no pipeline Rep com stage 'Pedido recebido'.,,,
Representantes,Pedido — Formulário,Implementar Make / n8n — Scenario: form submit → Bling pedido → Pipedrive deal → WA confirmação ao rep.,,,
Representantes,Pagamento,Implementar Bling ERP — Webhook pix_pago ou boleto_pago atualiza pedido pra 'Pago'. Inicia emissão de NF-e.,,,
Representantes,Pagamento,Implementar WhatsApp Business API — Mensagem automática de confirmação ao rep com dados da NF-e.,,,
Representantes,Pagamento,Implementar Make / n8n — Scenario: pagamento confirmado → atualiza Pipedrive → notifica rep → libera ops.,,,
Representantes,Operações,Implementar Bling ERP — Emite NF-e do rep. Baixa estoque do CD correspondente.,,,
Representantes,Operações,"Implementar Melhor Envio / Transportadora — Roteamento por volume: até X caixas via Melhor Envio, acima via transportadora parceira.",,,
Representantes,Operações,Implementar Make / n8n — Scenario: NF emitida → etiqueta → notificação WA com rastreio.,,,
Representantes,Entrega,Implementar Bling ERP / Transportadora — Status de entrega via webhook ou integração nativa.,,,
Representantes,Entrega,"Implementar WhatsApp Business API — Notificações: coletado, em trânsito, entregue.",,,
Representantes,Entrega,Implementar Make / n8n — Scenario: status_entregue → WA confirmação → Pipedrive fecha deal.,,,
Representantes,Follow-up + Recompra,Implementar Pipedrive — Pipeline Rep: tarefa automática D+25 com sugestão de pedido baseada em histórico.,,,
Representantes,Follow-up + Recompra,"Implementar WhatsApp Business API — Mensagem personalizada: 'Olá [rep], baseado no teu giro, sugerimos novo pedido de [X caixas]. Confirma?'",,,
Representantes,Follow-up + Recompra,"Implementar Make / n8n — Scenario: D+25 → WA mensagem → se sim, dispara form de pedido pré-preenchido.",,,
Pessoa Física,Atração,"Implementar WhatsApp Business API — Recebe mensagem de número não cadastrado. Classifica como PF baseado em heurística (linguagem, contexto).",,,
Pessoa Física,Atração,Implementar Pipedrive — Cria contato no pipeline B2C com tag origem:whatsapp.,,,
Pessoa Física,Atração,Implementar Make / n8n — Trigger: novo PF identificado → dispara mensagem de boas-vindas com link Shopify.,,,
Pessoa Física,Redirect — Shopify,Implementar WhatsApp Business API — Mensagem com link Shopify + cupom (se aplicável). Continua disponível pra dúvidas.,,,
Pessoa Física,Redirect — Shopify,Implementar Klaviyo — PF entra na lista de leads WA→Shopify pra remarketing se não converter em 24h.,,,
Pessoa Física,Redirect — Shopify,"Implementar Pipedrive — Tag rastreio:wa-pf no contato. Se converter no Shopify, deal é atualizado com origem WA.",,,
Pessoa Física,Acompanhamento,Implementar WhatsApp Business API — Conversa contínua. Bot responde dúvidas frequentes ou escala pra atendente.,,,
Pessoa Física,Acompanhamento,Implementar Pipedrive — Histórico de interações registrado no contato pra contexto futuro.,,,
Pessoa Física,Pós-venda,Implementar WhatsApp Business API — Notificações de status do pedido. Mensagem de NPS após entrega.,,,
Pessoa Física,Pós-venda,Implementar Klaviyo — Cliente entra nos fluxos LC3 e LC7 (recompra).,,,
Pessoa Física,Pós-venda,Implementar Judge.me — Convite pra avaliação 7 dias após entrega.,,,
Pessoa Jurídica,Atração,"Implementar WhatsApp Business API — Recebe mensagem. Classifica como PJ por palavra-chave (volume, atacado, revenda, evento) ou seleção de menu.",,,
Pessoa Jurídica,Atração,Implementar Pipedrive — Cria deal no pipeline B2B com stage 'Lead'. Tag origem:whatsapp.,,,
Pessoa Jurídica,Atração,Implementar Make / n8n — Trigger: PJ identificado → cria deal → notifica squad comercial.,,,
Pessoa Jurídica,Negociação,"Implementar WhatsApp Business API — Conversa de qualificação. Coleta CNPJ, volume, prazo.",,,
Pessoa Jurídica,Negociação,"Implementar Pipedrive — Deal avança pra stage 'Qualificado'. Campos custom preenchidos: volume, cnpj, segmento.",,,
Pessoa Jurídica,Negociação,Implementar Make / n8n — Scenario: deal qualificado → notifica Lucas → prepara dados pra geração de proposta.,,,
Pessoa Jurídica,Proposta + Pix,"Implementar Pipedrive — Gera proposta com produto PJ, quantidade e preço acordado. Deal avança pra 'Proposta enviada'.",,,
Pessoa Jurídica,Proposta + Pix,Implementar Bling ERP — Pedido criado com tabela PJ. Gera link de cobrança Pix.,,,
Pessoa Jurídica,Proposta + Pix,Implementar WhatsApp Business API — Envia proposta formatada + link de pagamento Pix. Mantém conversa aberta.,,,
Pessoa Jurídica,Proposta + Pix,Implementar Make / n8n — Scenario: 24h sem pagamento → lembrete; 48h → escalation pro squad.,,,
Pessoa Jurídica,Pagamento,Implementar Bling ERP — Webhook pix_pago atualiza pedido pra 'Pago'. Emite NF-e PJ.,,,
Pessoa Jurídica,Pagamento,Implementar Pipedrive — Deal avança pra 'Pago'. Tag status:pago.,,,
Pessoa Jurídica,Pagamento,Implementar WhatsApp Business API — Mensagem de confirmação + link da NF-e em PDF.,,,
Pessoa Jurídica,Pagamento,Implementar Make / n8n — Scenario: pago → atualiza Pipedrive → WA confirma → libera ops B2B.,,,
Pessoa Jurídica,Operações,Implementar Bling ERP — Emite NF-e PJ. Baixa estoque do CD correspondente. Gera ordem de coleta se aplicável.,,,
Pessoa Jurídica,Operações,Implementar Transportadora parceira — Aciona coleta direta pra volumes acima do threshold.,,,
Pessoa Jurídica,Operações,Implementar Melhor Envio — Etiqueta padrão pra volumes menores PJ.,,,
Pessoa Jurídica,Operações,Implementar Make / n8n — Scenario: volume_calculado → roteia frete → WA notifica cliente.,,,
Pessoa Jurídica,Entrega,Implementar Bling ERP / Transportadora — Status via webhook ou integração nativa.,,,
Pessoa Jurídica,Entrega,"Implementar WhatsApp Business API — Notificações: coleta agendada, coletado, em trânsito, entregue. Squad disponível 24h em horário comercial pra PJ.",,,
Pessoa Jurídica,Entrega,Implementar Make / n8n — Scenario: status_entregue → WA confirmação → Pipedrive fecha deal → arma trigger de recompra B2B.,,,
Pessoa Jurídica,Follow-up + Recompra,"Implementar Pipedrive — Pipeline B2B: tarefa pro squad D+25 com dados do cliente, último pedido e sugestão de volume.",,,
Pessoa Jurídica,Follow-up + Recompra,"Implementar WhatsApp Business API — Mensagem do squad: 'Olá [empresa], faz [X dias] do último pedido. Estamos prontos pra preparar o próximo. Vamos conversar?'",,,
Pessoa Jurídica,Follow-up + Recompra,"Implementar Make / n8n — Scenario: D+25 → tarefa Pipedrive → WA squad → se cliente confirma, reabre fluxo de proposta.",,,
